hour,day_of_year,irradiance_W_m2,ambient_temp_C,panel_temp_C,humidity_percent,wind_speed_m_s,voltage_V,current_A,power_W,condition
11.24,51,894.09,20.68,48.04,87.58,8.78,358.5,7.85,2790.38,normal
19.31,71,152.11,19.46,24.84,76.65,0.22,379.6,1.006,365.01,sombreado_parcial
16.25,48,732.63,17.48,40.3,85.82,2.0,363.71,2.867,1039.92,sombreado_parcial
14.38,19,881.08,23.71,51.54,29.84,2.73,355.08,7.832,2753.68,normal
8.18,262,437.87,27.31,39.95,24.98,0.85,366.74,2.841,1034.93,suciedad
8.18,84,479.85,29.22,44.5,59.04,4.43,356.15,4.388,1562.21,normal
6.81,155,214.58,26.45,34.81,40.32,2.96,372.69,0.935,373.57,sombreado_parcial
18.13,53,384.07,21.01,32.16,77.96,0.05,374.62,3.519,1323.64,normal
14.42,107,995.07,27.21,59.68,67.04,2.81,347.0,6.23,2144.96,suciedad
15.91,357,702.33,25.75,47.62,87.95,2.03,356.76,4.333,1535.91,sombreado_parcial
6.29,304,32.84,30.62,32.74,37.84,0.65,373.62,0.278,67.4,suciedad
19.58,135,71.04,29.66,32.07,54.0,15.0,371.97,0.144,53.25,falla_panel
17.65,69,462.22,25.18,39.58,55.09,6.82,368.69,3.143,1205.83,suciedad
8.97,11,574.69,19.62,38.1,36.74,1.04,369.35,4.519,1661.87,suciedad
8.55,143,538.65,21.08,39.74,61.31,2.34,366.04,4.732,1777.0,normal
8.57,192,582.54,21.7,40.26,51.03,1.14,363.89,5.1,1864.69,normal
10.26,69,786.09,23.11,48.39,51.27,4.48,358.77,2.355,829.04,falla_panel
13.35,23,908.47,26.61,54.45,45.39,7.99,353.61,2.714,929.95,falla_panel
12.05,181,1000.0,29.29,62.9,21.19,1.33,343.33,4.94,1713.89,sombreado_parcial
10.08,293,760.87,24.69,49.43,56.55,4.91,357.61,6.671,2378.61,normal
14.57,9,825.19,25.1,51.0,43.47,2.07,354.34,0.91,294.68,falla_panel
7.95,271,440.8,25.86,39.45,20.09,1.52,362.79,4.017,1455.47,normal
10.09,93,799.46,21.9,48.35,41.56,8.36,354.49,7.037,2505.56,normal
11.13,17,830.51,19.45,44.49,39.5,2.14,361.79,4.149,1467.85,sombreado_parcial
